name,dataSubtype,dataType,fileFormat,individualID,resourceType,studyId,studyName,platform,Component,modelSystemName,assay,species,fundingAgency,initiative,comments
7.9.22CarrollTMXMFS15GG.xls,dataMatrix,kinomics,excel,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Other Platform,ImagingAssayTemplate,ST88-14,immunoassay,Homo sapiens,CTF,Young Investigator Award,Pam Station 12 automatic kinomics instrument
8.12.22Carroll.pptx,dataMatrix,kinomics,powerpoint,Not applicable/Cell line,report,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Other Platform,ImagingAssayTemplate,ST88-14,immunoassay,Homo sapiens,CTF,Young Investigator Award,Pam Station 12 automatic kinomics instrument
7.5.22CarrolUpKin.xlsx,dataMatrix,kinomics,excel,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Other Platform,ImagingAssayTemplate,ST88-14,immunoassay,Homo sapiens,CTF,Young Investigator Award,Pam Station 12 automatic kinomics instrument
7.9.22CarrollTFZMFS15GG.xls,dataMatrix,kinomics,excel,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Other Platform,ImagingAssayTemplate,ST88-14,immunoassay,Homo sapiens,CTF,Young Investigator Award,Pam Station 12 automatic kinomics instrument
synapse_storage_manifest_imagingassaytemplate.csv,,,,,,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,,ImagingAssayTemplate,,,,CTF,Young Investigator Award,
