name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,modifiedBy,studyName,platform,Component,assay,species,fundingAgency,isCellLine,initiative,tissue,progressReportNumber,comments
GSM6255866,raw,geneExpression,fastq,MPNST-15,experimentalData,MPNST-15,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806014
GSM6255867,raw,geneExpression,fastq,MPNST-16,experimentalData,MPNST-16,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806015
GSM6255868,raw,geneExpression,fastq,MPNST-17,experimentalData,MPNST-17,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806016
GSM6255869,raw,geneExpression,fastq,MPNST-18,experimentalData,MPNST-18,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806017
GSM6255870,raw,geneExpression,fastq,MPNST-19,experimentalData,MPNST-19,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806018
GSM6255871,raw,geneExpression,fastq,MPNST-20,experimentalData,MPNST-20,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806019
GSM6255872,raw,geneExpression,fastq,MPNST-21,experimentalData,MPNST-21,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806020
GSM6255873,raw,geneExpression,fastq,MPNST-22,experimentalData,MPNST-22,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806021
GSM6255874,raw,geneExpression,fastq,MPNST-23,experimentalData,MPNST-23,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806022
GSM6255875,raw,geneExpression,fastq,MPNST-24,experimentalData,MPNST-24,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806023
GSM6255876,raw,geneExpression,fastq,MPNST-25,experimentalData,MPNST-25,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806024
GSM6255877,raw,geneExpression,fastq,MPNST-26,experimentalData,MPNST-26,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806025
GSM6255878,raw,geneExpression,fastq,MPNST-27,experimentalData,MPNST-27,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806026
GSM6255879,raw,geneExpression,fastq,MPNST-28,experimentalData,MPNST-28,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806027
GSM6255880,raw,geneExpression,fastq,MPNST-29,experimentalData,MPNST-29,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806028
GSM6255881,raw,geneExpression,fastq,MPNST-30,experimentalData,MPNST-30,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806029
GSM6255882,raw,geneExpression,fastq,MPNST-31,experimentalData,MPNST-31,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806030
GSM6255883,raw,geneExpression,fastq,MPNST-32,experimentalData,MPNST-32,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806031
GSM6255884,raw,geneExpression,fastq,MPNST-33,experimentalData,MPNST-33,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806032
GSM6255885,raw,geneExpression,fastq,MPNST-34,experimentalData,MPNST-34,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806033
GSM6255886,raw,geneExpression,fastq,MPNST-35,experimentalData,MPNST-35,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806034
GSM6255887,raw,geneExpression,fastq,MPNST-36,experimentalData,MPNST-36,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806035
GSM6255888,raw,geneExpression,fastq,MPNST-37,experimentalData,MPNST-37,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806036
GSM6255889,raw,geneExpression,fastq,MPNST-38,experimentalData,MPNST-38,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806037
GSM6255890,raw,geneExpression,fastq,MPNST-39,experimentalData,MPNST-39,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806038
GSM6255891,raw,geneExpression,fastq,MPNST-40,experimentalData,MPNST-40,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806039
GSM6255892,raw,geneExpression,fastq,MPNST-41,experimentalData,MPNST-41,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806040
synapse_storage_manifest.csv,,,,,,,syn11681835,,3423450,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,GenomicsAssayTemplateExtended,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761310_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761310_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761311_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761311_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761312_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761312_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761313_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761313_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761314_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761314_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
