name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,modifiedBy,studyName,platform,Component,assay,species,fundingAgency,isCellLine,initiative,tissue,progressReportNumber,comments
SRR19761329_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761329_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761330_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761330_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761331_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761331_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761332_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761332_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761333_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761333_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761334_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761334_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761335_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761335_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761336_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761336_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761337_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761337_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761338_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761338_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761339_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761339_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761340_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761340_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761341_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761341_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761342_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761342_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761343_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761343_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761344_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761344_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761345_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761345_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761346_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761346_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761347_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761347_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761348_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761348_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761349_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761349_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761350_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761350_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
