name,dataSubtype,dataType,fileFormat,individualID,resourceType,studyId,studyName,platform,Component,assay,species,fundingAgency,initiative
Image_768.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_769.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_770.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_771_Neg.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_772.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_763_erbb3sc81455.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_764.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_765.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_766.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_767_erbb3sc295.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_743_erbb3sc285.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_744_Neg.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_741_erbb3sc81455.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_742_erbb3sc81455.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_780.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_781_Neg.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_782.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_783.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_784.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_773_erbb3sc81455.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_774.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_775.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_776.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_777erbb3sc285.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_778.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_779.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_738_erbb3sc285.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_739__erbb3sc81455.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_740_Neg.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_737_erbb3sc81455.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_756_erbb3sc285.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_757.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_758.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
