name,dataSubtype,dataType,fileFormat,resourceType,studyId,nf1Genotype,modifiedBy,diagnosis,studyName,platform,assay,species,fundingAgency,organ,tissue
NF_Set10_0150_22Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set10_0200_22Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set10_0250_22Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set10_0300_22Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set10_0500_22Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set10_0750_22Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set10_1000_22Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_0025_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_0050_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_0075_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_0100_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_0150_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_0200_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_0250_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_0300_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_0500_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_0750_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set11_1000_24Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_0050_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_0075_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_0100_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_0150_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_0200_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_0250_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_0300_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_0500_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_0750_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_1000_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_0025_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_0050_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_0075_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_0100_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_0150_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_0200_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_0250_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_0300_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_0500_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set12_0025_25Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_0750_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set13_1000_26Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_0025_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_0050_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_0075_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_0100_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_0150_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_0200_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_0250_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_0300_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_0500_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_0750_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set14_1000_27Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
